Lift Capacity,Number of floors,Number of lifts,Lift speed,Lift Strategy,Call Strategy,Call Frequency,Lift Stop Time,Usage Rate
9,150,16,12,0,1,199,1,alto
6,105,12,13,1,0,64,1,alto
8,162,32,17,2,0,133,2,baixo
8,143,21,16,0,0,89,4,medio
9,73,10,9,0,1,176,2,baixo
11,180,19,16,1,0,86,3,alto
12,100,11,13,0,1,79,1,alto
10,55,11,8,0,0,88,1,medio
8,190,31,14,0,1,69,3,alto
7,107,19,11,1,1,179,2,baixo
6,188,22,14,2,0,132,3,alto
8,197,27,18,1,1,74,2,alto
6,138,19,15,1,0,141,1,medio
9,191,26,18,1,0,67,4,medio
7,105,15,11,2,0,38,1,baixo
10,198,33,13,1,1,180,2,baixo
8,78,10,9,0,0,77,1,alto
12,165,21,17,2,1,84,3,alto
7,138,21,15,0,1,72,3,alto
5,105,12,12,2,0,80,2,alto
13,89,13,12,0,0,122,2,alto
8,77,12,11,0,0,54,2,alto
6,57,10,10,0,0,174,2,baixo
8,164,28,15,2,0,176,3,baixo
15,85,16,11,2,1,116,2,baixo
10,108,11,13,2,0,75,2,alto
15,54,7,10,0,1,148,1,medio
9,155,16,12,2,0,88,2,alto
8,164,17,14,2,1,190,1,alto
12,80,16,12,0,0,185,2,baixo
10,89,9,9,0,1,180,2,medio
14,123,21,14,1,0,67,1,baixo
11,106,19,10,2,0,83,2,medio
9,145,20,14,0,0,76,3,medio
13,86,12,11,0,0,102,1,alto
5,173,33,16,0,0,146,4,baixo
9,173,27,14,1,0,30,1,baixo
11,148,18,13,0,1,28,2,medio
10,168,29,12,2,1,175,2,medio
12,103,19,12,2,1,26,3,baixo
5,191,35,13,2,0,45,2,baixo
13,138,27,11,1,0,89,1,baixo
8,153,28,13,2,1,139,3,medio
10,54,7,8,2,0,82,1,alto
8,64,6,9,1,0,190,2,medio
14,184,33,19,1,1,168,4,medio
9,112,20,14,2,1,147,3,medio
14,54,10,10,2,0,66,1,alto
7,67,10,11,0,1,182,2,medio
6,70,7,9,2,0,161,2,medio
11,190,35,19,0,1,155,3,alto
7,157,23,15,2,1,132,3,medio
15,115,15,10,2,1,134,2,baixo
14,138,15,14,0,0,152,2,medio
7,155,16,15,2,0,54,2,alto
5,163,31,14,1,0,69,2,baixo
7,63,7,9,0,0,158,2,medio
6,155,16,16,0,0,126,3,alto
5,107,14,11,0,1,90,2,alto
15,142,26,12,1,0,73,2,baixo
9,180,23,15,1,1,43,1,medio
12,75,12,11,1,0,95,2,alto
6,81,16,12,1,1,138,3,baixo
8,100,17,11,1,1,179,1,baixo
9,159,25,17,0,0,158,1,medio
10,141,15,11,0,0,167,2,baixo
8,125,24,14,2,0,106,3,medio
5,130,21,15,2,0,104,2,alto
10,149,21,15,0,0,108,1,medio
8,176,31,12,2,0,32,2,baixo
8,118,20,13,1,0,164,1,baixo
11,101,17,12,0,0,153,1,baixo
9,68,12,11,2,1,114,2,medio
14,200,22,18,1,0,58,1,medio
9,136,16,14,2,1,122,1,alto
7,125,21,13,2,1,168,2,baixo
14,75,9,10,0,0,196,2,baixo
8,133,17,13,1,0,74,1,alto
9,114,22,10,1,0,186,1,baixo
9,124,17,13,1,0,31,3,baixo
9,137,19,16,2,1,162,4,medio
8,149,23,15,1,1,166,2,medio
5,144,28,11,2,1,157,2,medio
12,56,10,9,2,1,93,1,medio
12,52,6,8,2,0,129,2,medio
5,102,14,13,0,0,28,2,baixo
15,186,20,13,2,0,76,1,alto
10,129,22,11,1,1,97,1,medio
5,142,15,16,2,1,175,2,medio
8,90,10,10,0,0,47,1,alto
5,118,20,14,1,0,40,3,baixo
11,64,8,11,0,0,175,1,baixo
10,135,25,14,2,0,128,1,medio
5,185,35,16,0,1,31,3,alto
7,170,34,13,0,0,67,3,baixo
5,107,14,12,2,0,176,1,baixo
10,148,22,12,1,0,169,1,baixo
9,179,24,14,0,0,108,1,medio
13,198,30,20,0,1,170,3,medio
5,153,23,15,2,1,51,1,medio
11,74,9,10,1,1,51,1,alto
6,191,32,14,2,1,80,3,medio
9,171,18,14,0,1,155,2,medio
13,193,30,17,1,1,126,2,medio
13,61,7,11,2,0,53,2,alto
5,55,8,8,0,0,139,1,baixo
10,180,34,13,1,1,117,2,medio
6,144,25,16,0,0,77,3,baixo
9,152,21,16,1,0,110,3,alto
7,57,8,8,0,0,165,2,medio
12,95,11,11,1,1,153,1,medio
15,194,19,19,1,0,95,3,alto
5,170,23,18,2,1,75,1,alto
5,75,10,12,2,1,187,2,baixo
14,113,11,13,2,0,192,3,medio
13,166,18,14,2,1,126,2,alto
14,197,24,19,1,0,142,4,medio
13,125,19,12,2,0,43,2,baixo
10,59,8,8,0,1,193,1,baixo
15,57,8,8,1,1,168,1,baixo
13,150,18,17,2,1,134,2,alto
10,95,12,10,2,0,75,2,alto
12,127,18,11,0,0,121,1,medio
9,165,29,13,2,1,127,2,medio
5,166,19,12,0,0,157,3,medio
11,125,24,15,0,0,52,1,baixo
14,117,12,11,2,0,183,2,medio
12,195,24,18,1,0,119,4,alto
14,117,19,12,2,0,179,1,baixo
9,95,17,12,0,1,134,1,alto
15,149,22,12,1,1,200,1,medio
8,128,25,14,1,1,180,3,baixo
15,71,13,10,1,0,61,1,medio
7,75,8,9,0,1,144,2,medio
5,192,32,18,0,0,116,2,medio
15,106,20,11,2,0,183,2,baixo
15,64,11,9,2,1,166,1,baixo
9,87,15,9,1,1,96,1,medio
10,191,29,14,2,1,170,3,medio
10,191,35,16,0,0,148,4,baixo
14,86,8,10,1,0,178,1,medio
7,89,10,11,2,1,93,1,alto
11,89,13,9,0,1,32,2,baixo
6,84,9,12,1,1,196,3,medio
5,193,24,19,0,1,98,4,alto
13,200,30,19,2,1,47,4,medio
9,168,21,16,1,1,85,1,alto
14,191,32,14,2,1,109,2,medio
9,75,13,9,1,0,160,1,baixo
5,181,31,19,1,1,47,3,medio
5,154,21,16,1,1,200,2,baixo
14,72,9,11,0,1,50,2,alto
14,152,28,16,1,0,115,4,medio
9,110,15,11,1,0,140,2,medio
7,181,21,19,0,1,72,1,medio
6,89,12,9,2,1,62,1,alto
12,186,19,18,0,0,56,2,alto
6,84,16,11,0,0,148,1,baixo
7,157,20,15,0,0,68,1,medio
11,92,13,10,1,1,200,1,medio
14,95,13,12,1,0,77,1,alto
14,162,24,14,0,0,26,2,baixo
13,155,16,13,1,0,68,3,alto
15,120,15,15,2,1,148,3,medio
7,177,23,17,1,1,49,4,medio
5,124,21,12,2,1,169,2,medio
10,165,31,17,1,0,140,4,baixo
10,110,17,13,0,0,136,2,medio
14,155,18,17,2,0,56,2,alto
7,146,14,13,2,1,170,1,alto
6,93,9,11,0,1,34,2,alto
6,154,24,17,0,1,96,1,medio
6,175,19,12,0,0,91,2,alto
15,181,20,15,1,1,190,2,medio
8,158,24,16,0,1,116,1,medio
8,155,22,14,2,0,82,3,medio
14,173,34,17,1,1,39,3,baixo
14,156,26,13,1,0,119,3,medio
7,91,16,10,1,0,125,1,medio
8,160,18,13,2,0,159,3,medio
14,54,5,9,2,0,105,1,alto
8,98,12,11,2,0,34,2,baixo
13,170,32,16,1,1,114,3,medio
9,172,30,14,2,1,153,2,medio
14,194,26,13,2,1,195,2,medio
9,118,17,13,1,1,47,2,medio
5,200,32,18,0,0,25,3,medio
6,198,29,20,2,1,72,4,medio
5,158,18,15,1,0,102,1,alto
9,152,19,14,0,0,170,3,baixo
8,72,8,10,2,0,70,1,alto
12,56,5,9,2,0,114,1,alto
9,60,7,10,0,1,193,2,medio
6,99,13,12,0,1,114,3,alto
9,155,23,16,2,1,71,2,medio
15,71,11,9,1,1,135,1,baixo
11,65,11,11,2,0,44,1,medio
13,191,25,15,0,0,184,1,baixo
11,193,25,16,2,0,130,1,medio
13,69,11,9,0,0,35,1,baixo
13,67,13,11,2,0,128,1,baixo
14,166,32,18,1,0,88,2,medio
5,171,27,13,0,1,91,3,alto
7,117,13,14,1,0,28,2,baixo
6,100,15,12,0,0,37,2,medio
10,80,14,12,1,1,157,3,medio
11,181,23,16,0,0,143,4,medio
14,72,12,9,0,0,165,2,baixo
13,144,21,16,1,1,157,1,medio
6,56,6,8,2,0,138,1,medio
11,186,34,14,0,0,63,1,baixo
5,76,10,11,0,0,143,1,medio
13,135,24,15,2,1,91,2,medio
13,149,18,11,2,1,97,1,alto
13,164,30,16,1,1,54,1,medio
6,107,19,14,0,1,42,3,alto
9,80,8,9,0,0,98,2,alto
10,113,15,13,1,0,57,3,alto
10,91,16,11,0,1,131,2,alto
11,116,12,13,2,0,131,1,alto
14,139,18,14,2,0,175,2,baixo
15,75,15,9,0,1,81,1,medio
7,74,8,11,0,1,195,2,medio
12,69,12,10,1,1,109,1,medio
11,98,13,13,2,0,118,1,alto
9,102,13,10,1,1,118,2,medio
14,183,22,13,1,1,66,3,medio
14,120,24,13,2,0,137,2,baixo
13,107,21,10,0,1,175,1,medio
10,179,27,14,1,0,82,1,baixo
13,60,8,11,0,1,185,1,baixo
9,154,18,15,1,1,138,3,alto
11,102,19,12,1,1,113,1,baixo
15,58,5,9,0,1,45,2,alto
13,70,9,10,0,1,180,1,medio
5,110,15,10,0,1,82,2,alto
11,133,14,15,0,0,194,3,baixo
13,161,32,12,1,1,93,3,medio
5,160,25,15,2,0,113,1,baixo
11,86,11,9,2,1,71,1,alto
12,130,23,15,1,0,133,1,medio
6,166,22,17,1,1,38,1,medio
15,193,29,17,2,0,194,2,baixo
14,127,14,14,2,1,185,1,alto
13,174,20,15,2,1,181,2,alto
14,132,22,12,0,0,188,2,baixo
11,64,6,9,2,0,87,2,alto
15,148,16,11,0,1,30,1,alto
5,191,20,14,2,0,33,1,baixo
8,120,12,12,2,0,32,1,medio
7,118,21,13,1,0,31,3,baixo
13,167,30,12,0,0,196,2,baixo
13,119,11,11,1,0,106,1,alto
13,143,16,15,2,1,106,2,alto
11,161,30,13,2,1,102,1,baixo
6,168,31,18,1,1,154,1,medio
6,174,22,15,1,1,129,3,alto
14,87,13,9,1,0,140,1,baixo
13,186,26,14,0,1,69,1,medio
5,106,15,13,1,1,98,2,alto
6,86,14,9,2,0,107,2,medio
9,195,39,16,0,1,149,2,medio
13,180,26,18,0,0,195,1,baixo
6,194,26,13,1,0,26,2,baixo
8,169,31,15,2,0,105,3,baixo
14,50,7,10,1,0,197,1,medio
10,132,17,14,2,0,101,1,alto
5,124,14,11,1,1,49,1,alto
13,54,5,8,1,1,163,1,baixo
15,87,12,9,1,0,182,1,baixo
7,60,11,9,0,1,125,1,medio
15,128,22,13,0,1,61,3,medio
8,55,11,10,2,1,104,1,medio
11,115,11,12,2,0,105,1,alto
8,185,28,14,0,1,55,1,medio
8,191,27,19,1,1,105,4,alto
9,116,18,14,1,1,44,3,baixo
6,118,20,13,1,0,33,1,baixo
5,55,5,8,2,0,92,2,alto
14,94,13,13,0,0,190,1,baixo
7,75,7,9,0,1,191,2,medio
13,163,23,15,0,1,86,2,medio
9,199,37,15,0,1,72,1,alto
11,119,12,10,2,0,184,2,baixo
7,200,32,17,2,0,127,1,baixo
9,177,35,16,1,1,50,2,medio
13,112,14,11,2,1,144,2,medio
5,181,23,15,2,0,144,2,medio
13,190,20,17,0,0,150,4,medio
5,181,21,16,0,1,127,3,medio
10,122,24,11,2,1,119,2,medio
10,66,13,10,0,0,39,2,baixo
10,54,9,10,1,0,108,1,medio
11,200,28,17,1,1,55,3,medio
6,111,22,14,2,0,111,1,medio
13,79,11,11,0,0,27,2,baixo
5,169,16,14,2,1,185,3,alto
5,65,6,9,0,0,121,2,alto
14,74,9,10,0,0,184,2,baixo
10,128,24,13,1,1,113,1,medio
12,116,16,11,1,0,96,2,alto
6,197,25,15,1,1,55,2,medio
7,127,22,14,1,0,49,3,baixo
10,51,5,9,2,0,187,1,medio
9,171,26,16,2,0,34,1,baixo
14,147,23,13,0,1,57,2,medio
9,56,5,8,2,0,174,2,medio
12,145,19,11,1,0,196,1,baixo
14,98,13,12,0,1,42,2,alto
8,50,7,10,0,1,155,1,medio
8,154,25,13,0,0,51,1,baixo
8,63,10,10,1,1,115,2,medio
8,80,14,12,0,1,53,2,medio
5,126,14,15,0,1,81,3,alto
12,68,9,11,1,0,71,2,alto
9,95,12,13,1,0,174,3,medio
11,97,15,10,2,0,152,2,medio
8,161,17,14,1,1,176,2,medio
8,160,28,17,0,0,49,3,baixo
6,124,24,12,2,1,132,1,medio
10,95,12,11,0,0,159,1,medio
5,121,21,15,2,0,117,1,medio
13,86,17,12,0,1,56,2,alto
6,100,10,12,0,0,158,1,alto
8,81,11,10,2,0,136,2,medio
6,142,18,11,0,1,161,2,medio
6,135,15,11,0,0,138,1,medio
14,160,32,17,2,0,107,1,baixo
7,55,10,10,1,1,84,2,medio
13,117,13,13,2,1,88,3,alto
6,68,11,9,1,0,99,2,alto
14,88,17,9,0,1,27,2,baixo
7,149,17,14,2,1,27,3,baixo
11,73,10,9,0,1,168,1,medio
7,163,25,14,0,1,183,2,medio
7,66,9,10,2,0,26,2,baixo
14,83,11,11,2,1,103,2,alto
5,110,20,10,0,0,185,2,baixo
5,160,17,16,2,1,164,2,alto
14,72,10,10,0,0,109,1,medio
9,112,11,14,2,1,28,2,medio
14,108,14,13,1,1,62,2,alto
11,104,16,10,0,1,138,1,baixo
6,92,11,12,2,1,90,1,alto
13,110,13,12,1,0,71,3,alto
12,120,12,12,0,0,39,2,alto
7,124,24,13,2,0,149,1,baixo
9,59,11,9,0,1,74,2,medio
11,101,20,13,2,0,69,3,baixo
7,163,24,13,1,0,179,2,baixo
11,152,29,14,1,0,194,1,baixo
10,70,10,10,1,1,89,2,alto
13,93,14,12,1,1,152,3,medio
11,147,15,14,0,1,139,3,alto
12,130,22,13,2,1,140,3,medio
12,101,16,10,0,0,196,1,baixo
14,115,14,11,1,0,74,2,alto
5,84,14,9,0,1,64,1,medio
13,118,22,13,1,1,86,3,baixo
7,134,22,12,2,0,156,1,baixo
11,118,17,13,2,0,80,1,alto
13,53,7,8,2,0,100,2,medio
7,67,6,11,2,1,195,1,medio
5,172,21,15,0,0,179,3,medio
7,109,11,12,2,1,47,1,alto
8,76,13,11,2,1,92,1,medio
8,145,16,12,2,0,194,2,medio
13,148,26,15,1,1,56,3,medio
7,89,11,12,1,1,104,3,alto
8,137,19,13,2,0,72,3,medio
8,146,19,14,2,0,123,2,medio
10,50,10,9,0,1,115,1,baixo
13,119,21,14,2,1,173,3,medio
12,133,20,14,2,1,153,1,medio
10,124,19,13,2,0,29,1,baixo
5,51,5,9,1,0,39,2,alto
13,163,27,13,1,1,150,3,medio
13,137,26,12,2,1,105,2,baixo
10,188,24,17,2,0,50,2,baixo
11,73,13,9,0,1,90,2,medio
9,85,16,9,0,1,197,1,baixo
12,133,13,11,0,1,200,1,medio
11,58,7,9,2,1,38,1,medio
11,100,13,10,2,0,187,1,baixo
10,187,30,14,2,1,165,2,medio
6,107,12,14,2,0,108,3,alto
7,94,17,12,2,1,177,2,baixo
8,169,20,15,1,1,174,1,alto
5,55,6,9,0,0,71,2,alto
12,169,33,14,2,1,86,1,baixo
6,156,27,13,1,0,117,3,baixo
5,149,23,13,0,1,185,3,medio
14,197,24,16,0,1,200,2,medio
12,125,22,15,1,0,97,3,medio
10,115,14,10,0,0,161,1,baixo
8,193,28,13,1,1,155,1,medio
14,113,20,10,2,0,198,1,baixo
6,127,25,14,2,0,168,1,baixo
12,158,19,13,0,1,150,1,medio
13,108,18,11,0,0,43,1,baixo
8,96,12,13,1,1,32,2,baixo
9,165,30,17,1,0,189,4,baixo
5,106,17,13,1,0,108,1,alto
10,143,21,13,2,1,175,2,medio
15,170,25,15,0,0,173,2,baixo
15,162,17,17,0,0,36,3,alto
8,79,12,10,0,0,154,1,baixo
7,106,16,11,0,1,93,2,alto
6,149,22,13,2,0,129,3,medio
11,122,22,12,2,1,137,2,medio
9,65,12,9,1,0,70,2,alto
11,101,17,13,2,0,159,2,medio
7,128,22,13,0,0,89,1,medio
13,113,16,11,0,1,130,1,medio
14,179,18,15,2,0,98,3,alto
5,139,25,14,2,1,177,2,medio
5,86,15,11,2,1,187,2,baixo
6,53,8,8,0,1,109,1,medio
10,74,14,11,1,0,51,2,baixo
7,134,17,11,0,1,113,2,alto
13,131,26,12,0,1,114,3,medio
7,101,17,13,0,1,138,2,alto
9,114,13,12,2,1,71,2,alto
9,148,27,11,1,0,157,1,baixo
13,97,13,10,1,1,55,2,medio
7,111,19,14,2,0,162,2,baixo
12,184,36,15,0,1,108,3,alto
5,56,5,8,0,0,159,1,medio
14,100,13,12,1,0,119,2,alto
13,128,23,13,2,1,54,1,medio
8,110,16,10,2,0,148,1,baixo
13,114,21,13,2,0,132,1,baixo
15,53,5,8,2,0,68,2,alto
9,126,12,14,0,0,171,2,medio
15,119,15,10,0,0,196,1,baixo
14,100,16,12,1,0,35,3,baixo
13,152,17,14,1,1,143,1,alto
8,168,18,15,0,1,108,1,alto
14,81,15,10,1,0,91,1,medio
10,174,33,18,2,0,158,3,baixo
7,51,7,8,2,0,132,1,medio
14,136,14,15,2,1,171,2,medio
11,160,21,12,2,0,55,2,baixo
10,116,15,12,1,1,38,3,medio
6,53,8,10,2,1,176,2,baixo
15,127,19,15,2,1,46,2,alto
9,78,7,12,1,1,152,3,alto
11,147,17,16,0,1,168,4,alto
12,191,28,14,2,1,124,2,medio
5,92,10,12,1,0,49,2,alto
5,142,17,15,2,1,147,2,alto
11,162,18,12,2,1,195,2,medio
8,131,25,11,0,1,30,2,medio
10,151,28,15,2,1,107,2,medio
9,183,22,16,1,0,114,1,alto
15,181,20,13,2,0,75,2,alto
10,115,12,10,2,0,47,1,alto
10,91,16,11,0,1,70,1,medio
5,175,34,14,0,0,142,2,baixo
12,117,23,10,2,0,117,1,medio
15,109,21,13,1,0,163,2,baixo
12,198,19,16,0,0,41,1,medio
11,111,20,12,1,0,140,1,baixo
9,85,10,10,2,0,41,1,medio
6,123,14,12,2,1,65,2,alto
12,187,30,17,0,1,93,3,alto
10,183,31,15,1,0,92,3,baixo
7,62,7,10,2,0,88,1,alto
6,55,6,9,0,1,45,2,alto
8,152,17,12,1,1,30,3,baixo
9,96,15,11,0,1,121,1,alto
10,119,19,13,0,0,25,2,baixo
13,193,33,15,0,1,119,2,alto
5,131,25,12,1,0,135,1,baixo
15,191,28,13,0,1,65,2,alto
14,192,32,14,2,1,186,2,medio
8,189,25,19,1,0,46,4,medio
13,99,18,11,2,0,72,1,medio
12,160,27,12,2,0,26,2,baixo
8,109,15,12,2,0,183,2,baixo
11,124,22,14,2,0,164,1,baixo
14,173,19,18,2,0,97,4,alto
5,158,23,14,1,0,105,3,medio
14,50,8,10,1,0,194,1,baixo
7,85,12,12,0,1,128,1,alto
11,175,34,17,2,1,29,4,medio
7,68,8,11,1,1,64,2,alto
7,102,10,13,2,1,195,3,medio
8,52,5,9,1,0,82,1,alto
11,56,11,10,2,1,48,1,baixo
14,68,7,9,0,0,59,2,alto
12,71,12,11,0,1,27,1,medio
11,199,27,20,2,1,111,2,alto
10,75,9,10,2,1,191,2,baixo
15,124,20,15,1,1,120,1,medio
7,78,14,12,1,1,160,1,medio
9,57,6,9,0,0,190,1,baixo
7,140,24,13,2,0,178,1,baixo
10,76,8,11,0,0,151,1,alto
13,139,26,13,1,0,80,1,baixo
6,165,23,13,0,1,102,3,alto
9,129,18,14,0,1,131,1,medio
6,86,8,11,1,1,174,1,medio
12,153,29,16,0,1,74,3,alto
5,172,29,17,0,1,132,4,medio
9,120,24,12,0,0,115,3,baixo
15,149,29,14,1,1,48,3,medio
11,149,23,16,1,0,170,2,baixo
7,144,21,12,1,0,174,1,baixo
9,63,12,11,1,1,28,1,baixo
15,86,16,10,1,1,160,2,baixo
14,87,15,11,1,0,176,1,baixo
7,76,14,9,2,0,150,2,baixo
6,186,30,16,1,0,149,3,medio
11,144,15,15,2,0,66,3,alto
9,67,7,10,0,1,140,2,medio
7,199,20,17,0,0,72,2,alto
7,96,9,12,2,0,167,1,alto
12,116,13,14,1,0,144,2,medio
9,68,9,9,2,0,94,1,alto
7,129,12,14,0,1,64,3,alto
9,181,33,18,0,1,25,2,alto
15,90,13,11,2,1,39,2,baixo
5,154,28,17,0,1,62,3,alto
14,166,26,13,0,0,27,1,baixo
11,127,16,12,0,1,128,3,alto
13,85,9,9,2,1,162,2,baixo
9,191,27,13,1,0,94,2,baixo
7,83,12,9,2,1,57,2,medio
15,115,11,14,0,1,74,1,alto
10,122,17,13,1,0,109,1,alto
11,53,10,10,2,1,75,2,medio
15,71,10,9,1,0,69,2,alto
5,195,30,17,2,0,95,2,medio
6,119,13,10,2,0,103,1,alto
7,61,12,10,1,1,37,2,baixo
7,62,11,11,0,1,115,1,medio
9,192,26,16,0,1,186,1,medio
13,111,21,10,2,0,60,2,baixo
9,177,31,16,2,0,186,3,baixo
10,194,27,13,1,1,169,3,medio
6,167,31,16,2,0,85,4,medio
14,149,20,13,1,0,75,1,medio
14,179,23,13,0,0,36,3,medio
7,58,6,9,2,0,53,1,alto
8,116,14,11,1,0,94,1,alto
10,159,15,17,1,1,110,3,alto
11,117,18,11,1,1,179,2,medio
9,142,25,11,0,0,46,2,baixo
11,53,5,10,2,0,199,1,medio
7,113,13,12,0,0,73,2,alto
10,107,14,11,0,1,181,1,alto
11,147,26,13,0,0,99,3,baixo
6,117,17,14,2,0,91,3,alto
6,155,26,17,2,1,198,3,medio
15,55,6,8,2,0,32,2,medio
10,146,28,16,1,1,51,3,baixo
5,137,24,11,0,1,31,1,alto
9,195,31,17,0,0,187,2,baixo
8,134,13,12,1,0,168,3,medio
11,86,12,11,2,1,148,1,medio
10,135,13,13,2,1,101,1,alto
14,59,10,9,2,1,90,2,medio
15,164,17,12,0,1,55,3,alto
7,152,16,15,1,1,34,2,medio
10,127,24,11,1,0,182,1,baixo
12,146,24,11,1,1,112,1,medio
6,51,6,9,0,1,199,2,baixo
8,150,29,14,1,1,96,3,baixo
10,176,27,14,0,0,111,3,medio
6,169,33,12,0,1,47,2,alto
6,100,14,11,1,0,85,1,alto
8,162,21,15,1,1,35,2,baixo
11,132,18,13,1,1,197,1,medio
11,191,21,17,2,0,54,3,medio
7,150,29,13,2,0,153,3,baixo
10,181,22,19,1,1,31,2,medio
13,156,27,12,2,1,41,2,baixo
15,96,12,12,1,0,189,1,medio
12,86,14,9,2,1,31,1,baixo
5,170,31,15,1,1,84,1,medio
7,66,12,10,2,0,27,2,baixo
11,93,17,10,2,0,57,1,baixo
12,145,26,14,0,1,130,3,alto
11,168,31,16,1,1,120,4,alto
7,65,12,9,2,0,79,2,alto
11,136,22,12,0,0,47,2,baixo
7,188,23,17,0,1,179,1,medio
7,104,20,11,0,1,58,2,medio
14,123,19,12,2,1,71,1,medio
5,112,21,13,0,0,153,2,medio
8,94,14,10,2,0,62,1,alto
6,83,9,11,2,0,121,1,alto
15,85,10,9,2,1,141,2,baixo
7,73,14,10,2,1,156,2,baixo
10,100,16,11,0,0,139,1,baixo
15,183,30,14,2,1,132,3,medio
9,110,21,14,0,1,71,3,alto
8,119,12,13,1,1,59,1,alto
12,138,19,11,1,0,173,2,baixo
12,73,10,10,1,1,120,1,medio
6,170,31,15,0,1,160,1,alto
13,84,11,12,1,0,57,1,alto
11,85,8,9,2,1,136,2,medio
13,163,16,14,1,1,60,2,alto
11,195,34,17,0,1,88,3,alto
7,179,24,18,2,0,184,2,medio
7,191,21,19,0,1,192,4,alto
7,99,12,10,0,0,29,2,baixo
6,106,14,10,0,0,176,2,baixo
7,54,5,8,0,0,194,1,medio
6,177,32,17,0,0,66,4,baixo
7,155,17,14,0,1,49,1,alto
6,159,31,15,2,0,156,2,baixo
6,149,16,16,2,0,200,2,medio
12,188,32,19,0,0,173,3,baixo
7,195,34,14,0,1,102,1,alto
5,91,9,10,1,1,36,1,alto
6,143,16,11,0,1,155,2,medio
14,181,27,16,2,0,41,1,baixo
15,126,12,13,1,0,151,1,alto
14,131,18,15,0,0,27,1,medio
8,134,23,14,1,1,50,3,baixo
11,95,10,11,1,1,103,1,alto
10,185,25,19,0,1,131,4,alto
10,147,15,13,0,0,146,2,medio
8,139,17,12,2,1,38,1,medio
12,102,20,13,1,0,34,2,baixo
13,111,21,12,0,1,142,1,alto
7,80,16,10,1,1,161,2,baixo
10,131,20,12,0,1,157,1,medio
13,88,10,9,0,0,155,2,alto
5,165,17,16,2,0,89,1,alto
11,161,29,16,0,0,83,1,medio
6,136,22,14,2,1,130,3,alto
5,67,6,11,1,1,29,1,alto
6,64,7,9,1,0,107,1,alto
9,77,8,10,2,1,171,1,medio
5,130,24,11,0,0,164,1,baixo
6,51,7,8,2,1,132,2,baixo
9,124,16,13,2,1,109,3,alto
6,110,21,11,1,0,81,1,baixo
8,88,14,9,1,0,97,2,medio
8,92,17,11,0,1,63,1,alto
15,100,11,13,2,1,192,3,medio
14,124,15,12,2,0,146,1,medio
14,84,8,9,1,1,128,1,medio
13,144,22,15,0,1,145,1,alto
14,156,20,17,1,0,93,3,alto
13,177,29,13,0,1,183,3,medio
11,159,17,14,0,1,31,1,alto
6,58,9,9,0,1,129,2,medio
15,67,7,9,1,1,79,1,alto
14,162,16,16,0,0,88,2,alto
13,88,17,10,0,1,92,2,medio
8,87,9,11,2,0,78,1,alto
5,77,13,10,1,0,69,2,alto
12,75,8,10,1,0,168,1,medio
10,153,19,16,1,0,166,4,medio
9,171,17,12,1,1,173,3,medio
7,161,17,15,2,0,128,1,alto
14,53,6,9,1,1,31,1,medio
10,151,28,13,0,1,136,3,medio
12,128,24,13,2,0,116,2,baixo
12,120,19,13,2,1,117,3,alto
15,107,19,12,1,1,163,3,baixo
11,83,15,11,0,0,190,2,baixo
5,163,21,17,0,0,28,4,baixo
9,198,27,17,0,1,95,2,alto
15,121,20,11,1,1,67,1,medio
6,93,16,12,1,0,114,3,medio
12,116,14,10,0,0,149,1,medio
9,123,21,13,0,0,140,3,medio
11,72,9,9,2,0,140,2,medio
7,167,21,14,0,0,178,3,medio
12,137,22,15,2,1,58,2,medio
5,172,30,12,1,1,80,3,medio
7,177,33,17,2,0,143,3,baixo
9,72,9,9,2,0,190,1,baixo
6,161,30,15,2,1,48,1,medio
8,177,35,17,1,0,92,4,baixo
12,198,19,20,1,1,50,5,alto
9,53,6,10,1,1,175,1,medio
13,154,19,15,0,1,51,3,alto
12,165,31,15,1,1,189,3,medio
14,117,12,13,0,1,68,3,alto
8,168,17,13,1,1,102,1,alto
7,135,15,16,2,0,108,1,alto
13,99,10,11,1,1,142,2,medio
12,112,17,12,0,0,28,2,baixo
13,130,16,15,1,0,198,2,medio
15,199,20,20,1,0,97,3,alto
5,151,19,14,1,0,69,1,medio
7,183,19,15,0,1,176,1,medio
15,156,15,17,0,0,143,3,alto
13,74,11,9,0,1,109,1,medio
10,90,14,10,0,1,26,1,baixo
6,198,29,16,0,1,34,2,medio
9,157,28,13,1,1,172,1,baixo
15,185,20,18,1,1,78,2,alto
10,186,23,17,0,0,87,4,baixo
15,79,15,9,0,1,196,1,baixo
8,110,21,12,1,0,176,1,baixo
14,151,30,12,0,0,175,2,baixo
8,64,12,11,0,1,58,1,medio
13,172,28,14,2,0,182,2,baixo
11,126,24,11,1,1,46,2,baixo
15,107,17,10,1,1,126,1,baixo
11,186,27,17,2,1,190,4,alto
13,72,7,11,2,1,182,1,medio
7,146,19,11,2,0,106,1,alto
7,200,40,15,2,1,74,1,medio
6,187,22,17,2,0,129,3,alto
9,66,10,11,1,0,167,1,baixo
5,70,8,9,0,0,169,1,medio
8,155,30,16,2,0,125,1,baixo
8,109,10,10,2,1,143,2,alto
11,153,20,13,2,1,173,1,medio
14,55,9,10,2,1,99,1,medio
13,132,22,14,0,0,26,1,baixo
14,196,29,17,0,0,111,2,baixo
13,74,14,9,0,0,62,2,baixo
