Lift Capacity,Number of floors,Number of lifts,Lift speed,Lift Strategy,Call Strategy,Call Frequency,Lift Stop Time,Usage Rate
9,99,19,12,2,0,151,2,baixo
8,134,14,15,1,1,165,1,alto
15,123,21,15,1,1,114,3,medio
10,166,25,12,0,0,145,3,baixo
15,116,18,10,0,0,195,1,baixo
11,154,16,13,2,1,107,2,alto
10,147,16,16,0,1,96,3,alto
8,198,28,13,1,1,197,1,medio
6,144,26,11,0,1,167,2,alto
6,198,19,14,2,1,87,3,alto
12,129,20,14,0,0,194,3,baixo
13,79,7,9,1,0,98,1,alto
6,127,16,12,1,0,33,3,medio
15,62,8,9,1,0,156,2,medio
11,130,25,15,0,0,42,1,baixo
10,177,33,12,1,0,37,1,baixo
15,61,7,11,2,1,111,2,alto
10,163,31,13,2,1,36,2,baixo
13,190,30,14,2,0,88,3,baixo
15,160,32,16,0,0,112,2,baixo
15,153,27,15,0,0,68,2,baixo
9,150,18,13,2,1,137,2,medio
12,67,10,11,0,1,150,1,medio
13,70,8,10,0,1,37,1,alto
10,117,21,12,1,0,83,2,baixo
13,87,13,11,2,0,101,2,alto
9,92,12,10,2,0,156,1,baixo
11,93,12,10,2,0,81,2,alto
15,175,18,13,0,0,193,3,medio
15,73,7,10,0,1,152,1,alto
7,187,21,17,0,1,45,3,alto
14,186,23,18,2,1,58,2,alto
9,200,22,19,1,1,199,3,alto
15,97,18,10,0,0,112,2,baixo
5,132,16,12,0,0,117,2,medio
13,171,28,18,2,1,43,4,medio
15,85,9,9,2,1,65,1,alto
14,158,27,17,1,0,130,2,medio
14,199,31,16,0,1,81,2,medio
8,59,8,8,1,1,176,2,baixo
10,50,8,8,1,0,176,2,baixo
6,79,10,9,1,1,87,2,alto
7,97,17,12,0,0,85,2,alto
12,182,20,15,1,0,155,2,medio
11,145,20,15,0,0,65,2,medio
6,90,13,12,1,1,132,1,medio
9,139,16,13,2,0,71,2,alto
12,54,6,9,2,0,58,1,alto
10,55,11,8,2,1,114,1,baixo
6,58,8,10,1,0,187,1,baixo
15,57,9,10,1,0,48,1,alto
6,144,22,16,2,0,157,3,baixo
10,148,24,16,2,1,91,3,medio
7,130,24,12,1,1,46,1,baixo
14,171,31,13,2,1,26,2,medio
8,68,12,9,1,0,118,1,medio
14,82,16,9,2,0,99,1,baixo
12,170,23,13,2,0,157,2,baixo
9,189,35,18,2,0,133,1,baixo
9,133,20,12,1,1,189,1,baixo
14,88,16,10,2,0,69,1,medio
5,130,22,15,2,0,66,3,baixo
10,142,28,13,2,0,143,2,baixo
15,143,24,13,0,0,184,3,baixo
11,114,11,14,1,0,70,3,alto
10,57,7,10,0,1,74,2,alto
15,183,22,19,2,1,64,3,alto
15,103,15,13,2,1,120,1,medio
5,84,9,11,0,0,105,2,alto
6,114,15,14,0,1,115,1,alto
9,196,28,15,2,0,52,3,medio
15,183,19,19,1,1,168,2,alto
8,62,6,11,0,1,31,2,alto
15,119,13,14,1,1,38,3,medio
9,71,13,9,0,0,187,1,baixo
12,151,26,17,0,1,197,2,medio
5,121,21,14,1,1,92,3,medio
15,91,18,11,1,1,46,2,baixo
7,174,18,12,0,1,159,2,medio
6,154,27,13,1,0,180,3,baixo
10,165,19,14,0,1,118,1,alto
6,71,9,9,0,0,195,1,baixo
6,64,11,9,2,0,48,1,medio
8,155,18,14,2,1,81,3,alto
8,124,12,15,1,1,27,2,baixo
15,87,13,12,1,1,90,1,alto
15,116,19,13,0,0,184,3,medio
8,62,9,11,1,1,164,1,baixo
11,54,5,10,2,1,61,2,alto
15,144,28,11,0,1,132,2,medio
9,200,30,16,1,1,130,1,medio
7,109,12,12,1,0,127,3,alto
12,127,20,13,1,0,58,1,baixo
7,156,15,12,0,1,119,2,alto
7,56,6,8,0,1,178,2,baixo
15,160,28,12,0,0,43,2,baixo
7,68,6,9,0,1,187,2,medio
6,64,12,9,1,1,46,2,baixo
7,139,24,16,1,1,150,1,alto
10,94,9,11,1,1,198,2,medio
12,130,23,12,2,1,182,1,medio
9,76,9,10,2,0,180,2,medio
8,123,22,13,0,1,76,1,alto
5,190,29,13,2,1,105,3,medio
15,127,14,11,2,0,51,1,medio
15,119,14,12,1,0,184,1,alto
13,133,26,15,0,0,112,1,medio
